scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
both_inflows_zero,2043,8243457.6587943975,8017046.082821416,226411.57597298158,3838388.898212544,4405068.760581854,547452.0081781803,4100113.020932887,3595892.6296833297,0.027465607921384555,0.4362116939907019
both_inflows_zero,2044,7975566.210408514,7760604.014929216,214962.1954792987,3701129.9900819557,4274436.22032656,504979.72021407174,3876987.6951213633,3593598.7950730803,0.02695259368529375,0.45057600930994135
both_inflows_zero,2045,7714574.271548481,7510371.055230716,204203.21631776402,3567598.464454698,4146975.807093783,465979.45837711345,3659325.633658518,3589269.179512848,0.026469797182570393,0.465258231131451
both_inflows_zero,2046,7460329.776834129,7266252.6987013165,194077.07813281205,3437682.7031936054,4022647.0736405235,430314.02652353066,3447007.0824535787,3583008.66785702,0.026014544120484005,0.4802748370431298
both_inflows_zero,2047,7212670.434129743,7028139.831582004,184530.6025477386,3311266.6030324334,3901403.8310973104,397850.3530351123,3250334.275862037,3564485.8052325943,0.025584227677249122,0.49419779231361394
both_inflows_zero,2048,6970848.164947301,6795324.644283373,175523.52066392777,3188041.1836207067,3782806.9813265945,368924.0000082412,3058674.9761442044,3543249.188794855,0.025179650526107066,0.5082952755465219
both_inflows_zero,2049,6735085.026937368,6568068.133222878,167016.89371449023,3067993.7220217194,3667091.3049156484,343130.13330804807,2872245.027960421,3519709.8656688984,0.024798037893582092,0.522593234026239
both_inflows_zero,2050,6505207.1636954965,6346236.767262995,158970.3964325022,2951034.3420702703,3554172.821625227,320112.8654044258,2691211.277914582,3493883.020376489,0.024437407208134757,0.537090200581971
both_inflows_zero,2051,6281012.721945433,6129667.661356447,151345.06058898586,2837065.1442581317,3443947.5776873017,299558.90376907226,2515691.0415311456,3465762.776645216,0.024095646241918355,0.5517840721029071
both_inflows_zero,2052,6062289.328048358,5918185.047930761,144104.2801175965,2725995.312846109,3336294.0152022485,281192.47513204516,2355767.1597567573,3425329.6931595556,0.023770604192523456,0.5650224705230751
