緯度,経度,施設名,所在地,水飲み栓設置場所,営業時間,入場料等,タイプ,稼働停止,備考
35.68216315,139.6793328,児童青少年センター,渋谷区本町６－６－２,Ｂ２階・Ｂ１階・１階各廊下・３階,"10:00~20:00（小学生のみの利用は18:00まで）
休館日：月曜日（国民の祝日にあたる場合は直後の平日）、第3日曜日、年末年始（12/29~1/3）",,飲み口型,,
35.7023,139.49774,公民館貫井北分館,小金井市貫井北町１－１１－１２,１階,,,飲み口型,,
35.7143174,139.5199651,小金井市総合体育館,小金井市関野町１－１３－１,地下１階・２階,,,飲み口型,,
35.69397869,139.4995143,前原町西之台会館,小金井市前原町３－８－１,１階廊下,,,飲み口型,,
35.69785644,139.5213015,栗山公園健康運動センター,小金井市中町２－２１－１,１・４階,,,飲み口型,,
35.68744179,139.5227113,野川クリーンセンター,小金井市東町１－７－１９,１階,,,ボトルディスペンサー型,,
35.70021577,139.5062004,小金井 宮地楽器ホール,小金井市本町６－１４－４５,１階自動販売機付近,,,飲み口型,,
35.72788344,139.5141898,小平市東部市民センター,小平市花小金井１－８－１,２階図書館,AM9～PM5（祝休日でない火水はPM8まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.73451891,139.5178524,花小金井北地域センター,小平市花小金井３－１０－１,ロビー,AM10～PM5（祝休日でない火水はPM8まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.73419,139.51028,小平市立花小金井北公民館,小平市花小金井５－４１－３,２階受付前,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.72440289,139.5161217,小平市立花小金井南公民館,小平市花小金井南町２－１２－６,１階ロビー,"休館日：月曜日（祝日を除く）
9:00～17:00",,飲み口型,,
35.72225312,139.5186563,花小金井南地域センター,小平市花小金井南町３－３－１７,ロビー,"休館日：月曜日（祝日を除く）
9:00～22:00",,飲み口型,,
35.72277171,139.4756372,学園西町地域センター,小平市学園西町２－１２－２２,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.72703911,139.4775489,健康センター,小平市学園東町１－１９－１２,１階ロビー,平日　8：30～17：00,,飲み口型,,
35.72580164,139.4835362,学園東町地域センター,小平市学園東町２－１６－１１,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.71615847,139.4886161,喜平地域センター,小平市喜平町１－１０－９,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.71721865,139.4909079,喜平図書館,小平市喜平町３－３－１８,１階エントランス,AM10～PM5（祝休日でない火水はPM7まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.71442814,139.5011623,御幸地域センター,小平市御幸町５８,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.73913,139.46066,小川西町中宿地域センター,小平市小川西町２－３０－１,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.73521,139.46181,小平市西部市民センター,小平市小川西町４－１０－１３,１階ロビー,AM10～PM5（祝休日でない火水はPM8まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.73524104,139.4559715,小川西町地域センター,小平市小川西町５－４－１７,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.72597837,139.4593971,小平市立小川公民館,小平市小川町１－１０１２,１階受付前,"休館日：月曜日（祝日を除く）
9:00～17:00",,飲み口型,,
35.72928336,139.4480989,小川町一丁目地域センター,小平市小川町１－３０４５,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.73155976,139.443576,小平市立上宿公民館,小平市小川町１－３０８,１階受付前,"休館日：月曜日（祝日を除く）
9:00～17:00",,飲み口型,,
35.73014775,139.4391892,上宿図書館,小平市小川町１－３４５,１階エントランス,AM10～PM5（祝休日でない火水はPM7まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.72772679,139.4673113,小川町二丁目地域センター,小平市小川町２－１１５４,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.72736127,139.4765064,小平市中央公民館,小平市小川町２－１３２５,１階受付前,"休館日：月曜日（祝日を除く）
9:00～22:00",,飲み口型,,
35.72762558,139.4765844,中央図書館,小平市小川町２－１３２５,１階エントランス・２階,AM10～PM7（ただし土日祝休日はPM5まで）休館日は金曜（祝日の場合も休館）、第三木曜（祝日の場合は開館）、12/28～1/4、特別整理期間,,飲み口型,,
35.73561412,139.4780082,小川東町地域センター,小平市小川東町１８０５,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.73273,139.46857,小川東第二地域センター,小平市小川東町５－９－１,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.7252826,139.4390149,上水新町地域センター,小平市上水新町１－１４－１８,ロビー,"９時から２２時
（第1，3火曜休館）",,飲み口型,,
35.71305,139.48369,小平市立上水南公民館,小平市上水南町１－２７－１,１階受付前,"休館日：月曜日（祝日を除く）
9:00～17:00",,飲み口型,,
